,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
s1,,,,,,,,,,,,,,,,,,,,,
s2,,1.0,0.6026096254119663,0.7149492357344346,,0.132242491063128,-0.7021364512462581,0.6623249714773479,0.27376424977129465,,0.7400200250826947,-0.7245784731486256,0.6617924441473915,0.1797520089813038,0.6759751834687658,,0.6298855524724675,,,-0.66184070160526,-0.6680502336445678
s3,,0.6026096254119663,1.0,0.6784127230560499,,0.11603935842710657,-0.6645953071132289,0.6024805063934241,0.3229644012471922,,0.6959001518952431,-0.6803068131690224,0.6009632389153967,0.23713725709941372,0.6399212019115184,,0.6000172066356568,,,-0.6259414240527787,-0.6339008220838391
s4,,0.7149492357344346,0.6784127230560499,1.0,,0.15048012790900522,-0.7931295615103564,0.7468516378386186,0.2974286048640261,,0.8301356963159815,-0.815590516105214,0.7451584171066051,0.1907476635905984,0.7584588237333841,,0.7034991076071142,,,-0.7480671529345257,-0.7451931072313168
s5,,,,,,,,,,,,,,,,,,,,,
s6,,0.132242491063128,0.11603935842710657,0.15048012790900522,,1.0,-0.15572021582853457,0.15216063936486202,0.019347241293042904,,0.16001446079151005,-0.155883746509672,0.1582762403384188,-0.0021123292305550018,0.1490419542451202,,0.1308095801422252,,,-0.14141850354009616,-0.13741863497663268
s7,,-0.7021364512462581,-0.6645953071132289,-0.7931295615103564,,-0.15572021582853457,1.0,-0.7671324922557688,-0.2178352478918392,,-0.8228050249957691,0.812712601325414,-0.7646112718879825,-0.11005295045571481,-0.7470510147905534,,-0.6928926302047294,,,0.7361633224361058,0.7374465463515103
s8,,0.6623249714773479,0.6024805063934241,0.7468516378386186,,0.15216063936486202,-0.7671324922557688,1.0,-0.03209112729269517,,0.7822127696336517,-0.786539605029396,0.8260843322333569,-0.14478695859311377,0.7009493494249228,,0.6277852737540254,,,-0.6870302309800361,-0.6888400311460682
s9,,0.27376424977129465,0.3229644012471922,0.2974286048640261,,0.019347241293042904,-0.2178352478918392,-0.03209112729269517,1.0,,0.27459121737959136,-0.2102383266148202,-0.034762503443821514,0.9631566003059776,0.2937530614075117,,0.3371097288462262,,,-0.2852796694613779,-0.2927951918590654
s10,,,,,,,,,,,,,,,,,,,,,
s11,,0.7400200250826947,0.6959001518952431,0.8301356963159815,,0.16001446079151005,-0.8228050249957691,0.7822127696336517,0.27459121737959136,,1.0,-0.8468835930051095,0.780760787176233,0.16340794452120305,0.7809127612290541,,0.7222963106255637,,,-0.7715096058655173,-0.7725544629421499
s12,,-0.7245784731486256,-0.6803068131690224,-0.815590516105214,,-0.155883746509672,0.812712601325414,-0.786539605029396,-0.2102383266148202,,-0.8468835930051095,1.0,-0.7884412801839724,-0.09814050827141958,-0.7660517140324321,,-0.7034852782074562,,,0.7519430767100543,0.7562626092978838
s13,,0.6617924441473915,0.6009632389153967,0.7451584171066051,,0.1582762403384188,-0.7646112718879825,0.8260843322333569,-0.034762503443821514,,0.780760787176233,-0.7884412801839724,1.0,-0.1470360119064143,0.6976618546670144,,0.6274095045813114,,,-0.6861723315545051,-0.6889476988498012
s14,,0.1797520089813038,0.23713725709941372,0.1907476635905984,,-0.0021123292305550018,-0.11005295045571481,-0.14478695859311377,0.9631566003059776,,0.16340794452120305,-0.09814050827141958,-0.1470360119064143,1.0,0.19376095995422543,,0.2466207600956967,,,-0.18736446308674415,-0.19241506408879977
s15,,0.6759751834687658,0.6399212019115184,0.7584588237333841,,0.1490419542451202,-0.7470510147905534,0.7009493494249228,0.2937530614075117,,0.7809127612290541,-0.7660517140324321,0.6976618546670144,0.19376095995422543,1.0,,0.6692049306289932,,,-0.7076714769272786,-0.7040428734102896
s16,,,,,,,,,,,,,,,,,,,,,
s17,,0.6298855524724675,0.6000172066356568,0.7034991076071142,,0.1308095801422252,-0.6928926302047294,0.6277852737540254,0.3371097288462262,,0.7222963106255637,-0.7034852782074562,0.6274095045813114,0.2466207600956967,0.6692049306289932,,1.0,,,-0.6510208740940541,-0.6587097546132158
s18,,,,,,,,,,,,,,,,,,,,,
s19,,,,,,,,,,,,,,,,,,,,,
s20,,-0.66184070160526,-0.6259414240527787,-0.7480671529345257,,-0.14141850354009616,0.7361633224361058,-0.6870302309800361,-0.2852796694613779,,-0.7715096058655173,0.7519430767100543,-0.6861723315545051,-0.18736446308674415,-0.7076714769272786,,-0.6510208740940541,,,1.0,0.6934799722903519
s21,,-0.6680502336445678,-0.6339008220838391,-0.7451931072313168,,-0.13741863497663268,0.7374465463515103,-0.6888400311460682,-0.2927951918590654,,-0.7725544629421499,0.7562626092978838,-0.6889476988498012,-0.19241506408879977,-0.7040428734102896,,-0.6587097546132158,,,0.6934799722903519,1.0
