unit,cycles_count,cycle_length,first_s1,first_s2,first_s3,first_s4,first_s5,first_s6,first_s7,first_s8,first_s9,first_s10,first_s11,first_s12,first_s13,first_s14,first_s15,first_s16,first_s17,first_s18,first_s19,first_s20,first_s21,last_s1,last_s2,last_s3,last_s4,last_s5,last_s6,last_s7,last_s8,last_s9,last_s10,last_s11,last_s12,last_s13,last_s14,last_s15,last_s16,last_s17,last_s18,last_s19,last_s20,last_s21
1,192,192,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392.0,2388.0,100.0,39.06,23.419,518.67,643.54,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396.0,2388.0,100.0,38.48,22.9649
2,287,287,518.67,641.89,1583.84,1391.28,14.62,21.6,554.53,2388.01,9054.72,1.3,46.93,522.33,2388.06,8137.72,8.3905,0.03,391.0,2388.0,100.0,38.94,23.4585,518.67,643.85,1608.5,1430.84,14.62,21.61,551.66,2388.2,9109.36,1.3,48.12,519.81,2388.21,8175.57,8.5365,0.03,398.0,2388.0,100.0,38.43,23.0848
3,179,179,518.67,642.04,1584.2,1398.13,14.62,21.61,553.96,2388.06,9056.95,1.3,47.14,522.24,2388.0,8138.4,8.4207,0.03,391.0,2388.0,100.0,38.96,23.3205,518.67,643.51,1604.8,1428.23,14.62,21.61,551.91,2388.14,9197.52,1.3,48.09,519.53,2388.2,8255.34,8.5056,0.03,398.0,2388.0,100.0,38.4,22.9562
4,189,189,518.67,642.6,1585.4,1402.85,14.62,21.61,553.97,2388.06,9051.1,1.3,47.29,521.94,2388.07,8131.5,8.42,0.03,393.0,2388.0,100.0,39.04,23.3814,518.67,644.53,1612.11,1432.55,14.62,21.61,551.93,2388.13,9198.32,1.3,48.15,519.84,2388.16,8259.42,8.5246,0.03,398.0,2388.0,100.0,38.44,23.1006
5,269,269,518.67,641.77,1583.59,1395.26,14.62,21.61,554.39,2387.98,9066.49,1.3,47.19,522.34,2388.0,8152.22,8.4102,0.03,393.0,2388.0,100.0,38.98,23.4468,518.67,643.46,1597.28,1430.74,14.62,21.61,550.77,2388.18,9157.05,1.3,48.26,519.86,2388.16,8212.75,8.5209,0.03,397.0,2388.0,100.0,38.45,23.0296
6,188,188,518.67,642.73,1584.4,1412.34,14.62,21.61,552.99,2388.12,9037.26,1.3,47.56,521.69,2388.12,8116.86,8.4286,0.03,394.0,2388.0,100.0,38.94,23.3086,518.67,643.47,1600.63,1434.92,14.62,21.61,550.7,2388.34,9027.96,1.3,48.21,518.98,2388.34,8102.82,8.5358,0.03,397.0,2388.0,100.0,38.42,22.9577
7,259,259,518.67,642.38,1589.49,1395.48,14.62,21.61,554.76,2387.97,9071.27,1.3,47.24,522.19,2387.99,8141.69,8.4081,0.03,390.0,2388.0,100.0,38.97,23.4073,518.67,644.15,1599.33,1435.04,14.62,21.61,551.97,2388.19,9075.94,1.3,47.97,519.1,2388.24,8145.75,8.5162,0.03,396.0,2388.0,100.0,38.46,23.0596
8,150,150,518.67,643.18,1585.17,1409.75,14.62,21.61,552.31,2388.12,9048.66,1.3,47.3,521.23,2388.13,8123.47,8.4808,0.03,393.0,2388.0,100.0,38.9,23.3468,518.67,643.87,1602.84,1432.31,14.62,21.61,551.08,2388.27,9046.16,1.3,48.24,519.57,2388.26,8121.27,8.5509,0.03,394.0,2388.0,100.0,38.24,23.051
9,201,201,518.67,642.18,1582.99,1396.22,14.62,21.61,554.35,2387.96,9065.59,1.3,47.09,522.34,2387.95,8149.16,8.402,0.03,391.0,2388.0,100.0,39.04,23.5349,518.67,644.04,1595.36,1428.43,14.62,21.61,552.3,2388.5,9239.76,1.3,48.11,520.28,2388.56,8289.63,8.5156,0.03,399.0,2388.0,100.0,38.45,23.0284
10,222,222,518.67,641.92,1587.93,1392.2,14.62,21.61,554.37,2388.0,9051.46,1.3,47.05,522.54,2388.01,8137.61,8.4039,0.03,391.0,2388.0,100.0,39.04,23.5309,518.67,643.66,1599.18,1436.29,14.62,21.61,552.7,2388.22,9115.44,1.3,48.09,520.02,2388.16,8183.55,8.5159,0.03,398.0,2388.0,100.0,38.51,23.1434
11,240,240,518.67,642.2,1585.65,1395.39,14.62,21.61,554.78,2388.05,9051.83,1.3,47.13,522.29,2387.97,8135.27,8.3935,0.03,392.0,2388.0,100.0,39.03,23.4919,518.67,643.52,1598.71,1432.38,14.62,21.61,552.03,2388.19,9155.67,1.3,48.19,519.94,2388.16,8218.2,8.5135,0.03,397.0,2388.0,100.0,38.28,23.0558
12,170,170,518.67,642.39,1586.1,1402.11,14.62,21.61,554.1,2388.06,9052.13,1.3,47.54,520.94,2388.09,8130.76,8.4214,0.03,394.0,2388.0,100.0,38.78,23.2348,518.67,643.31,1601.76,1434.94,14.62,21.61,551.1,2388.32,9050.4,1.3,48.08,519.55,2388.29,8122.87,8.5213,0.03,395.0,2388.0,100.0,38.64,23.0102
13,163,163,518.67,641.94,1594.32,1405.5,14.62,21.61,554.14,2388.07,9051.55,1.3,47.46,520.87,2388.11,8131.99,8.4393,0.03,392.0,2388.0,100.0,38.76,23.3793,518.67,644.26,1610.89,1430.32,14.62,21.61,550.99,2388.15,9153.32,1.3,48.22,519.76,2388.16,8211.76,8.5477,0.03,397.0,2388.0,100.0,38.53,23.1291
14,180,180,518.67,642.88,1587.54,1403.23,14.62,21.61,552.82,2388.09,9058.57,1.3,47.46,521.6,2388.09,8137.36,8.4549,0.03,392.0,2388.0,100.0,38.8,23.2687,518.67,643.49,1597.94,1427.6,14.62,21.61,551.29,2388.18,9129.74,1.3,48.32,520.56,2388.23,8196.18,8.5237,0.03,397.0,2388.0,100.0,38.36,22.9824
15,207,207,518.67,642.0,1576.75,1394.77,14.62,21.61,554.97,2388.02,9055.94,1.3,46.98,522.88,2388.0,8142.23,8.4102,0.03,391.0,2388.0,100.0,38.87,23.3903,518.67,643.65,1599.27,1433.72,14.62,21.61,551.59,2388.33,9039.93,1.3,48.3,519.67,2388.31,8122.39,8.5381,0.03,396.0,2388.0,100.0,38.43,23.0375
16,209,209,518.67,642.9,1583.42,1411.32,14.62,21.61,552.96,2388.11,9056.38,1.3,47.41,520.82,2388.11,8136.24,8.4573,0.03,392.0,2388.0,100.0,38.84,23.2792,518.67,643.61,1601.47,1429.68,14.62,21.61,551.17,2388.25,9060.94,1.3,48.28,519.44,2388.26,8132.25,8.5258,0.03,397.0,2388.0,100.0,38.35,23.1505
17,276,276,518.67,641.45,1587.52,1401.29,14.62,21.61,555.25,2388.03,9067.87,1.3,47.25,522.19,2387.98,8146.09,8.3859,0.03,392.0,2388.0,100.0,39.21,23.5279,518.67,643.97,1599.82,1432.46,14.62,21.61,551.51,2388.14,9172.75,1.3,48.06,520.22,2388.12,8238.26,8.5171,0.03,397.0,2388.0,100.0,38.5,23.0517
18,195,195,518.67,642.49,1582.95,1401.6,14.62,21.61,554.59,2387.95,9061.3,1.3,47.19,521.41,2387.99,8142.8,8.3861,0.03,393.0,2388.0,100.0,39.06,23.4234,518.67,643.93,1601.0,1428.08,14.62,21.61,551.43,2388.44,9224.53,1.3,48.01,519.44,2388.39,8282.5,8.5132,0.03,398.0,2388.0,100.0,38.5,23.0304
19,158,158,518.67,642.55,1589.99,1411.09,14.62,21.61,553.09,2388.17,9048.73,1.3,47.64,521.86,2388.07,8122.16,8.4148,0.03,392.0,2388.0,100.0,38.76,23.2468,518.67,643.34,1605.58,1433.97,14.62,21.61,550.84,2388.3,9051.89,1.3,48.23,519.22,2388.33,8117.14,8.5343,0.03,396.0,2388.0,100.0,38.28,22.9405
20,234,234,518.67,643.0,1589.87,1404.3,14.62,21.61,553.44,2388.1,9063.7,1.3,47.56,521.93,2388.02,8136.61,8.4498,0.03,391.0,2388.0,100.0,38.88,23.2767,518.67,643.86,1598.43,1430.93,14.62,21.61,551.74,2388.3,9070.66,1.3,48.15,519.73,2388.25,8143.3,8.5433,0.03,397.0,2388.0,100.0,38.57,22.9964
21,195,195,518.67,642.24,1582.88,1410.66,14.62,21.61,553.57,2388.07,9047.42,1.3,47.44,521.76,2388.06,8128.48,8.4181,0.03,395.0,2388.0,100.0,38.9,23.3554,518.67,643.87,1606.47,1432.84,14.62,21.61,551.79,2388.18,9161.51,1.3,48.04,520.26,2388.19,8224.87,8.5197,0.03,399.0,2388.0,100.0,38.44,22.986
22,202,202,518.67,642.68,1595.65,1408.51,14.62,21.61,553.04,2388.09,9048.21,1.3,47.46,521.07,2388.16,8127.45,8.4425,0.03,393.0,2388.0,100.0,38.96,23.3081,518.67,643.64,1609.56,1429.98,14.62,21.61,551.02,2388.3,9053.41,1.3,48.16,519.31,2388.3,8130.05,8.5361,0.03,398.0,2388.0,100.0,38.43,22.9965
23,168,168,518.67,641.98,1591.38,1408.8,14.62,21.61,553.33,2388.12,9049.85,1.3,47.54,521.78,2388.1,8131.29,8.4069,0.03,394.0,2388.0,100.0,38.79,23.2717,518.67,643.32,1604.16,1431.69,14.62,21.61,551.26,2388.26,9059.37,1.3,48.19,519.71,2388.36,8127.93,8.5169,0.03,397.0,2388.0,100.0,38.32,22.9071
24,147,147,518.67,642.17,1587.9,1403.12,14.62,21.61,554.0,2388.07,9066.64,1.3,47.1,522.08,2388.0,8146.09,8.403,0.03,391.0,2388.0,100.0,39.08,23.3594,518.67,643.79,1601.33,1430.87,14.62,21.61,550.78,2388.3,9043.96,1.3,48.19,519.3,2388.28,8119.58,8.5374,0.03,398.0,2388.0,100.0,38.58,23.0309
25,230,230,518.67,642.85,1586.83,1403.72,14.62,21.61,553.81,2388.1,9044.91,1.3,47.51,521.04,2388.15,8126.14,8.432,0.03,392.0,2388.0,100.0,38.98,23.4472,518.67,643.67,1608.49,1432.58,14.62,21.61,552.18,2388.14,9152.46,1.3,48.12,520.16,2388.19,8209.41,8.4974,0.03,398.0,2388.0,100.0,38.38,23.0349
26,199,199,518.67,642.5,1591.55,1411.43,14.62,21.61,552.93,2388.14,9041.19,1.3,47.56,521.53,2388.13,8126.96,8.4322,0.03,393.0,2388.0,100.0,38.82,23.3124,518.67,643.51,1599.25,1432.5,14.62,21.61,551.79,2388.19,9159.51,1.3,48.05,519.2,2388.2,8222.42,8.5347,0.03,398.0,2388.0,100.0,38.27,22.9867
27,156,156,518.67,642.41,1592.81,1403.33,14.62,21.61,554.08,2388.08,9053.27,1.3,47.61,521.21,2388.06,8144.58,8.4088,0.03,391.0,2388.0,100.0,38.74,23.3425,518.67,643.76,1606.45,1429.06,14.62,21.61,551.51,2388.17,9141.14,1.3,48.26,519.43,2388.15,8210.07,8.5259,0.03,397.0,2388.0,100.0,38.65,23.0772
28,165,165,518.67,642.14,1584.11,1392.44,14.62,21.61,554.84,2387.99,9068.32,1.3,47.14,522.67,2388.0,8145.82,8.3899,0.03,391.0,2388.0,100.0,39.18,23.3642,518.67,644.01,1600.61,1431.57,14.62,21.61,551.78,2388.19,9087.32,1.3,48.04,519.31,2388.2,8166.05,8.5311,0.03,396.0,2388.0,100.0,38.37,23.1508
29,163,163,518.67,642.85,1590.52,1408.46,14.62,21.61,554.41,2388.04,9055.13,1.3,47.4,521.92,2388.02,8143.8,8.4185,0.03,393.0,2388.0,100.0,39.09,23.3381,518.67,643.98,1598.93,1436.41,14.62,21.61,551.64,2388.23,9042.66,1.3,48.17,519.75,2388.26,8121.38,8.5641,0.03,396.0,2388.0,100.0,38.29,23.0583
30,194,194,518.67,642.18,1587.39,1392.46,14.62,21.61,554.09,2387.99,9065.62,1.3,47.07,522.61,2387.95,8148.76,8.4058,0.03,392.0,2388.0,100.0,39.17,23.3801,518.67,643.34,1604.03,1441.49,14.62,21.61,551.1,2388.32,9050.0,1.3,48.17,519.22,2388.3,8118.21,8.5298,0.03,396.0,2388.0,100.0,38.24,23.1925
31,234,234,518.67,642.32,1582.38,1393.03,14.62,21.61,554.79,2388.05,9058.68,1.3,47.19,522.25,2387.99,8138.73,8.4135,0.03,392.0,2388.0,100.0,39.02,23.4287,518.67,643.5,1599.79,1425.76,14.62,21.61,550.86,2388.34,9042.46,1.3,48.32,519.88,2388.35,8116.96,8.4871,0.03,397.0,2388.0,100.0,38.46,23.0314
32,191,191,518.67,643.03,1588.85,1405.9,14.62,21.61,553.38,2388.17,9047.84,1.3,47.68,521.08,2388.14,8124.43,8.4717,0.03,393.0,2388.0,100.0,38.79,23.3229,518.67,643.35,1605.39,1435.15,14.62,21.61,551.45,2388.18,9089.9,1.3,48.53,519.65,2388.21,8156.17,8.5372,0.03,396.0,2388.0,100.0,38.3,23.1225
33,200,200,518.67,642.24,1584.98,1396.83,14.62,21.61,554.03,2388.01,9057.65,1.3,47.21,522.49,2388.03,8145.03,8.3918,0.03,390.0,2388.0,100.0,38.9,23.5107,518.67,643.93,1605.51,1433.49,14.62,21.61,551.28,2388.23,9050.89,1.3,48.28,519.81,2388.31,8127.7,8.5146,0.03,397.0,2388.0,100.0,38.42,22.9862
34,195,195,518.67,642.44,1586.84,1407.9,14.62,21.61,553.56,2388.07,9058.32,1.3,47.33,521.54,2388.07,8143.4,8.4248,0.03,392.0,2388.0,100.0,38.76,23.242,518.67,643.94,1597.74,1434.09,14.62,21.61,551.46,2388.17,9162.57,1.3,48.33,520.01,2388.14,8230.84,8.5014,0.03,397.0,2388.0,100.0,38.36,22.9984
35,181,181,518.67,642.25,1589.5,1401.87,14.62,21.61,553.94,2388.06,9061.4,1.3,47.45,521.22,2388.05,8138.2,8.4282,0.03,392.0,2388.0,100.0,38.83,23.3682,518.67,643.91,1600.31,1431.5,14.62,21.61,551.16,2388.24,9098.3,1.3,48.08,519.84,2388.25,8166.97,8.5153,0.03,396.0,2388.0,100.0,38.44,23.0205
36,158,158,518.67,642.95,1592.01,1407.56,14.62,21.61,553.39,2388.08,9053.52,1.3,47.29,521.38,2388.09,8140.18,8.4318,0.03,393.0,2388.0,100.0,38.92,23.3887,518.67,643.31,1606.6,1432.33,14.62,21.61,551.7,2388.28,9051.21,1.3,48.26,519.4,2388.31,8124.67,8.5327,0.03,396.0,2388.0,100.0,38.39,22.9915
37,170,170,518.67,642.5,1586.54,1404.33,14.62,21.61,553.48,2388.04,9045.66,1.3,47.35,521.5,2388.09,8127.28,8.4529,0.03,392.0,2388.0,100.0,39.11,23.4308,518.67,643.85,1603.36,1425.87,14.62,21.61,551.28,2388.29,9038.73,1.3,48.4,519.15,2388.27,8116.79,8.5559,0.03,396.0,2388.0,100.0,38.37,23.1615
38,194,194,518.67,642.25,1589.3,1409.25,14.62,21.61,553.83,2388.03,9050.25,1.3,47.49,521.34,2388.1,8122.88,8.4875,0.03,393.0,2388.0,100.0,38.95,23.2628,518.67,643.95,1606.9,1426.16,14.62,21.61,551.67,2388.26,9156.77,1.3,48.52,520.07,2388.16,8217.94,8.5574,0.03,397.0,2388.0,100.0,38.35,23.001
